id,jp_name,en_name,hiragana,katakana,parent_id
160,小平町,obirachou,おびらちょう,オビラチョウ,7
161,苫前町,tomamaechou,とままえちょう,トママエチョウ,7
162,羽幌町,haborochou,はぼろちょう,ハボロチョウ,7
163,初山別村,shosanbetsumura,しょさんべつむら,ショサンベツムラ,7
164,遠別町,enbetsuchou,えんべつちょう,エンベツチョウ,7
165,天塩町,teshiochou,てしおちょう,テシオチョウ,7
166,猿払村,sarufutsumura,さるふつむら,サルフツムラ,7
167,浜頓別町,hamatonbetsuchou,はまとんべつちょう,ハマトンベツチョウ,7
168,中頓別町,nakatonbetsuchou,なかとんべつちょう,ナカトンベツチョウ,7
169,枝幸町,esashichou,えさしちょう,エサシチョウ,7
170,豊富町,toyotomichou,とよとみちょう,トヨトミチョウ,7
171,礼文町,rebunchou,れぶんちょう,レブンチョウ,7
172,利尻町,rishirichou,りしりちょう,リシリチョウ,7
173,利尻富士町,rishirifujichou,りしりふじちょう,リシリフジチョウ,7
174,幌延町,horonobechou,ほろのべちょう,ホロノベチョウ,7
175,美幌町,bihorochou,びほろちょう,ビホロチョウ,7
176,津別町,tsubetsuchou,つべつちょう,ツベツチョウ,7
177,斜里町,sharichou,しゃりちょう,シャリチョウ,7
178,清里町,kiyosatochou,きよさとちょう,キヨサトチョウ,7
179,小清水町,koshimizuchou,こしみずちょう,コシミズチョウ,7
180,訓子府町,kunneppuchou,くんねっぷちょう,クンネップチョウ,7
181,置戸町,oketochou,おけとちょう,オケトチョウ,7
182,佐呂間町,saromachou,さろまちょう,サロマチョウ,7
183,遠軽町,engaruchou,えんがるちょう,エンガルチョウ,7
184,湧別町,yuubetsuchou,ゆうべつちょう,ユウベツチョウ,7
185,滝上町,takinouechou,たきのうえちょう,タキノウエチョウ,7
186,興部町,okoppechou,おこっぺちょう,オコッペチョウ,7
187,西興部村,nishiokoppemura,にしおこっぺむら,ニシオコッペムラ,7
188,雄武町,oumuchou,おうむちょう,オウムチョウ,7
189,大空町,oozorachou,おおぞらちょう,オオゾラチョウ,7
190,豊浦町,toyourachou,とようらちょう,トヨウラチョウ,7
191,壮瞥町,soubetsuchou,そうべつちょう,ソウベツチョウ,7
192,白老町,shiraoichou,しらおいちょう,シラオイチョウ,7
193,厚真町,atsumachou,あつまちょう,アツマチョウ,7
194,洞爺湖町,touyakochou,とうやこちょう,トウヤコチョウ,7
195,安平町,abirachou,あびらちょう,アビラチョウ,7
196,むかわ町,mukawachou,むかわちょう,ムカワチョウ,7
197,日高町,hidakachou,ひだかちょう,ヒダカチョウ,7
198,平取町,biratorichou,びらとりちょう,ビラトリチョウ,7
199,新冠町,niikappuchou,にいかっぷちょう,ニイカップチョウ,7
200,浦河町,urakawachou,うらかわちょう,ウラカワチョウ,7
201,様似町,samanichou,さまにちょう,サマニチョウ,7
202,えりも町,erimochou,えりもちょう,エリモチョウ,7
203,新ひだか町,shinhidakachou,しんひだかちょう,シンヒダカチョウ,7
204,音更町,otofukechou,おとふけちょう,オトフケチョウ,7
205,士幌町,shihorochou,しほろちょう,シホロチョウ,7
206,上士幌町,kamishihorochou,かみしほろちょう,カミシホロチョウ,7
207,鹿追町,shikaoichou,しかおいちょう,シカオイチョウ,7
208,新得町,shintokuchou,しんとくちょう,シントクチョウ,7
209,清水町,shimizuchou,しみずちょう,シミズチョウ,7
210,芽室町,memurochou,めむろちょう,メムロチョウ,7
211,中札内村,nakasatsunaimura,なかさつないむら,ナカサツナイムラ,7
212,更別村,sarabetsumura,さらべつむら,サラベツムラ,7
213,大樹町,taikichou,たいきちょう,タイキチョウ,7
214,広尾町,hiroochou,ひろおちょう,ヒロオチョウ,7
215,幕別町,makubetsuchou,まくべつちょう,マクベツチョウ,7
216,池田町,ikedachou,いけだちょう,イケダチョウ,7
217,豊頃町,toyokorochou,とよころちょう,トヨコロチョウ,7
218,本別町,honbetsuchou,ほんべつちょう,ホンベツチョウ,7
219,足寄町,ashorochou,あしょろちょう,アショロチョウ,7
220,陸別町,rikubetsuchou,りくべつちょう,リクベツチョウ,7
221,浦幌町,urahorochou,うらほろちょう,ウラホロチョウ,7
222,釧路町,kushirochou,くしろちょう,クシロチョウ,7
223,厚岸町,akkeshichou,あっけしちょう,アッケシチョウ,7
224,浜中町,hamanakachou,はまなかちょう,ハマナカチョウ,7
225,標茶町,shibechachou,しべちゃちょう,シベチャチョウ,7
226,弟子屈町,teshikagachou,てしかがちょう,テシカガチョウ,7
227,鶴居村,tsuruimura,つるいむら,ツルイムラ,7
228,白糠町,shiranukachou,しらぬかちょう,シラヌカチョウ,7
229,別海町,betsukaichou,べつかいちょう,ベツカイチョウ,7
230,中標津町,nakashibetsuchou,なかしべつちょう,ナカシベツチョウ,7
231,標津町,shibetsuchou,しべつちょう,シベツチョウ,7
232,羅臼町,rausuchou,らうすちょう,ラウスチョウ,7
233,青森市,aomorishi,あおもりし,アオモリシ,8
234,弘前市,hirosakishi,ひろさきし,ヒロサキシ,8
235,八戸市,hachinoheshi,はちのへし,ハチノヘシ,8
236,黒石市,kuroishishi,くろいしし,クロイシシ,8
237,五所川原市,goshogawarashi,ごしょがわらし,ゴショガワラシ,8
238,十和田市,towadashi,とわだし,トワダシ,8
239,三沢市,misawashi,みさわし,ミサワシ,8
240,むつ市,mutsushi,むつし,ムツシ,8
241,つがる市,tsugarushi,つがるし,ツガルシ,8
242,平川市,hirakawashi,ひらかわし,ヒラカワシ,8
243,平内町,hiranaimachi,ひらないまち,ヒラナイマチ,8
244,今別町,imabetsumachi,いまべつまち,イマベツマチ,8
245,蓬田村,yomogitamura,よもぎたむら,ヨモギタムラ,8
246,外ヶ浜町,sotogahamamachi,そとがはままち,ソトガハママチ,8
247,鰺ヶ沢町,ajigasawamachi,あじがさわまち,アジガサワマチ,8
248,深浦町,fukauramachi,ふかうらまち,フカウラマチ,8
249,西目屋村,nishimeyamura,にしめやむら,ニシメヤムラ,8
250,藤崎町,fujisakimachi,ふじさきまち,フジサキマチ,8
251,大鰐町,oowanimachi,おおわにまち,オオワニマチ,8
252,田舎館村,inakadatemura,いなかだてむら,イナカダテムラ,8
253,板柳町,itayanagimachi,いたやなぎまち,イタヤナギマチ,8
254,鶴田町,tsurutamachi,つるたまち,ツルタマチ,8
255,中泊町,nakadomarimachi,なかどまりまち,ナカドマリマチ,8
256,野辺地町,nohejimachi,のへじまち,ノヘジマチ,8
257,七戸町,shichinohemachi,しちのへまち,シチノヘマチ,8
258,六戸町,rokunohemachi,ろくのへまち,ロクノヘマチ,8
259,横浜町,yokohamamachi,よこはままち,ヨコハママチ,8
260,東北町,touhokumachi,とうほくまち,トウホクマチ,8
261,六ヶ所村,rokkashomura,ろっかしょむら,ロッカショムラ,8
262,おいらせ町,oirasechou,おいらせちょう,オイラセチョウ,8
263,大間町,oomachou,おおまちょう,オオマチョウ,8
264,東通村,higashidoorimura,ひがしどおりむら,ヒガシドオリムラ,8
